pmid,abstract,score,mod_score,types
30527666,"LIN28 RNA binding proteins are dynamically expressed throughout mammalian development and during disease. However, it remains unclear how changes in LIN28 expression define patterns of post-transcriptional gene regulation. Here we show that LIN28 expression level is a key variable that sets the magnitude of protein translation. By systematically varying LIN28B protein levels in human cells, we discovered a dose-dependent divergence in transcriptome-wide ribosome occupancy that enabled the formation of two discrete translational subpopulations composed of nearly all expressed genes. This bifurcation in gene expression was mediated by a redistribution in Argonaute association, from let-7 to non-let-7 microRNA families, resulting in a global shift in cellular miRNA activity. Post-transcriptional effects were scaled across the physiological LIN28 expression range. Together, these data highlight the central importance of RBP expression level and its ability to encode regulation.",0,0.0,{}
30554942,"Cohesin subunits are frequently mutated in cancer, but how they function as tumor suppressors is unknown. Cohesin mediates sister chromatid cohesion, but this is not always perturbed in cancer cells. Here, we identify a previously unknown role for cohesin. We find that cohesin is required to repress transcription at DNA double-strand breaks (DSBs). Notably, cohesin represses transcription at DSBs throughout interphase, indicating that this is distinct from its known role in mediating DNA repair through sister chromatid cohesion. We identified a cancer-associated SA2 mutation that supports sister chromatid cohesion but is unable to repress transcription at DSBs. We further show that failure to repress transcription at DSBs leads to large-scale genome rearrangements. Cancer samples lacking SA2 display mutational patterns consistent with loss of this pathway. These findings uncover a new function for cohesin that provides insights into its frequent loss in cancer.",5,3.0,"{""Inhibition"": 3, ""Activation"": 2}"
30554943,"Targeting bromodomains (BRDs) of the bromo-and-extra-terminal (BET) family offers opportunities for therapeutic intervention in cancer and other diseases. Here, we profile the interactomes of BRD2, BRD3, BRD4, and BRDT following treatment with the pan-BET BRD inhibitor JQ1, revealing broad rewiring of the interaction landscape, with three distinct classes of behavior for the 603 unique interactors identified. A group of proteins associate in a JQ1-sensitive manner with BET BRDs through canonical and new binding modes, while two classes of extra-terminal (ET)-domain binding motifs mediate acetylation-independent interactions. Last, we identify an unexpected increase in several interactions following JQ1 treatment that define negative functions for BRD3 in the regulation of rRNA synthesis and potentially RNAPII-dependent gene expression that result in decreased cell proliferation. Together, our data highlight the contributions of BET protein modules to their interactomes allowing for a better understanding of pharmacological rewiring in response to JQ1.",0,0.0,{}
30554944,"The classic view of nucleosome organization at active promoters is that two well-positioned nucleosomes flank a nucleosome-depleted region (NDR). However, this view has been recently disputed by contradictory reports as to whether wider (≳150 bp) NDRs instead contain unstable, micrococcal nuclease-sensitive (""fragile"") nucleosomal particles. To determine the composition of fragile particles, we introduce CUT&RUN.ChIP, in which targeted nuclease cleavage and release is followed by chromatin immunoprecipitation. We find that fragile particles represent the occupancy of the RSC (remodeling the structure of chromatin) nucleosome remodeling complex and RSC-bound, partially unwrapped nucleosomal intermediates. We also find that general regulatory factors (GRFs) bind to partially unwrapped nucleosomes at these promoters. We propose that RSC binding and its action cause nucleosomes to unravel, facilitate subsequent binding of GRFs, and constitute a dynamic cycle of nucleosome deposition and clearance at the subset of wide Pol II promoter NDRs.",0,0.0,{}
30554945,"The CRISPR-Cas9 system has successfully been adapted to edit the genome of various organisms. However, our ability to predict the editing outcome at specific sites is limited. Here, we examined indel profiles at over 1,000 genomic sites in human cells and uncovered general principles guiding CRISPR-mediated DNA editing. We find that precision of DNA editing (i.e., recurrence of a specific indel) varies considerably among sites, with some targets showing one highly preferred indel and others displaying numerous infrequent indels. Editing precision correlates with editing efficiency and a preference for single-nucleotide homologous insertions. Precise targets and editing outcome can be predicted based on simple rules that mainly depend on the fourth nucleotide upstream of the protospacer adjacent motif (PAM). Indel profiles are robust, but they can be influenced by chromatin features. Our findings have important implications for clinical applications of CRISPR technology and reveal general patterns of broken end joining that can provide insights into DNA repair mechanisms.",0,0.0,{}
30554946,"Transcriptional regulation occurs via changes to rates of different biochemical steps of transcription, but it remains unclear which rates are subject to change upon biological perturbation. Biochemical studies have suggested that stimuli predominantly affect the rates of RNA polymerase II (Pol II) recruitment and polymerase release from promoter-proximal pausing. Single-cell studies revealed that transcription occurs in discontinuous bursts, suggesting that features of such bursts like frequency and intensity could also be regulated. We combined Pol II chromatin immunoprecipitation sequencing (ChIP-seq) and single-cell transcriptional measurements to show that an independently regulated burst initiation step is required before polymerase recruitment can occur. Using a number of global and targeted transcriptional regulatory perturbations, we showed that biological perturbations regulated both burst initiation and polymerase pause release rates but seemed not to regulate polymerase recruitment rate. Our results suggest that transcriptional regulation primarily acts by changing the rates of burst initiation and polymerase pause release.",0,0.0,{}
30554947,"Microprocessor, composed of DROSHA and its cofactor DGCR8, initiates microRNA (miRNA) biogenesis by processing the primary transcripts of miRNA (pri-miRNAs). Here we investigate the mechanism by which Microprocessor selects the cleavage site with single-nucleotide precision, which is crucial for the specificity and functionality of miRNAs. By testing ∼40,000 pri-miRNA variants, we find that for some pri-miRNAs the cleavage site is dictated mainly by the mGHG motif embedded in the lower stem region of pri-miRNA. Structural modeling and deep-sequencing-based complementation experiments show that the double-stranded RNA-binding domain (dsRBD) of DROSHA recognizes mGHG to place the catalytic center in the appropriate position. The mGHG motif as well as the mGHG-recognizing residues in DROSHA dsRBD are conserved across eumetazoans, suggesting that this mechanism emerged in an early ancestor of the animal lineage. Our findings provide a basis for the understanding of miRNA biogenesis and rational design of accurate small-RNA-based gene silencing.",0,0.0,{}
30554948,"The BRCA1-BRCA2-RAD51 axis is essential for homologous recombination repair (HRR) and is frequently disrupted in breast cancers. PARP inhibitors (PARPis) are used clinically to treat BRCA-mutated breast tumors. Using a genetic screen, we identified EMI1 as a modulator of PARPi sensitivity in triple-negative breast cancer (TNBC) cells. This function requires the F-box domain of EMI1, through which EMI1 assembles a canonical SCF ubiquitin ligase complex that constitutively targets RAD51 for degradation. In response to genotoxic stress, CHK1-mediated phosphorylation of RAD51 counteracts EMI1-dependent degradation by enhancing RAD51's affinity for BRCA2, leading to RAD51 accumulation. Inhibition of RAD51 degradation restores HRR in BRCA1-depleted cells. Human breast cancer samples display an inverse correlation between EMI1 and RAD51 protein levels. A subset of BRCA1-deficient TNBC cells develop resistance to PARPi by downregulating EMI1 and restoring RAD51-dependent HRR. Notably, reconstitution of EMI1 expression reestablishes PARPi sensitivity both in cellular systems and in an orthotopic mouse model.",1,1.5,"{""Activation"": 1}"
30581142,"Mitophagy, a mitochondrial quality control process for eliminating dysfunctional mitochondria, can be induced by a response of dynamin-related protein 1 (Drp1) to a reduction in mitochondrial membrane potential (MMP) and mitochondrial division. However, the coordination between MMP and mitochondrial division for selecting the damaged portion of the mitochondrial network is less understood. Here, we found that MMP is reduced focally at a fission site by the Drp1 recruitment, which is initiated by the interaction of Drp1 with mitochondrial zinc transporter Zip1 and Zn2+ entry through the Zip1-MCU complex. After division, healthy mitochondria restore MMP levels and participate in the fusion-fission cycle again, but mitochondria that fail to restore MMP undergo mitophagy. Thus, interfering with the interaction between Drp1 and Zip1 blocks the reduction of MMP and the subsequent mitophagic selection of damaged mitochondria. These results suggest that Drp1-dependent fission provides selective pressure for eliminating ""bad sectors"" in the mitochondrial network, serving as a mitochondrial quality surveillance system.",4,9.0,"{""Complex"": 2, ""Activation"": 2}"
30581143,"The ubiquitin proteasome system (UPS) maintains the integrity of the proteome by selectively degrading misfolded or mis-assembled proteins, but the rules that govern how conformationally defective proteins in the secretory pathway are selected from the structurally and topologically diverse constellation of correctly folded membrane and secretory proteins for efficient degradation by cytosolic proteasomes is not well understood. Here, we combine parallel pooled genome-wide CRISPR-Cas9 forward genetic screening with a highly quantitative and sensitive protein turnover assay to discover a previously undescribed collaboration between membrane-embedded cytoplasmic ubiquitin E3 ligases to conjugate heterotypic branched or mixed ubiquitin (Ub) chains on substrates of endoplasmic-reticulum-associated degradation (ERAD). These findings demonstrate that parallel CRISPR analysis can be used to deconvolve highly complex cell biological processes and identify new biochemical pathways in protein quality control.",0,0.0,{}
30581144,"CRISPR-Cas9 genome editing has transformed biotechnology and therapeutics. However, in vivo applications of some Cas9s are hindered by large size (limiting delivery by adeno-associated virus [AAV] vectors), off-target editing, or complex protospacer-adjacent motifs (PAMs) that restrict the density of recognition sequences in target DNA. Here, we exploited natural variation in the PAM-interacting domains (PIDs) of closely related Cas9s to identify a compact ortholog from Neisseria meningitidis-Nme2Cas9-that recognizes a simple dinucleotide PAM (N4CC) that provides for high target site density. All-in-one AAV delivery of Nme2Cas9 with a guide RNA targeting Pcsk9 in adult mouse liver produces efficient genome editing and reduced serum cholesterol with exceptionally high specificity. We further expand our single-AAV platform to pre-implanted zygotes for streamlined generation of genome-edited mice. Nme2Cas9 combines all-in-one AAV compatibility, exceptional editing accuracy within cells, and high target site density for in vivo genome editing applications.",1,0.0,"{""Inhibition"": 1}"
30581145,"Fused in sarcoma (FUS) is an RNA binding protein involved in regulating many aspects of RNA processing and linked to several neurodegenerative diseases. Transcriptomics studies indicate that FUS binds a large variety of RNA motifs, suggesting that FUS RNA binding might be quite complex. Here, we present solution structures of FUS zinc finger (ZnF) and RNA recognition motif (RRM) domains bound to RNA. These structures show a bipartite binding mode of FUS comprising of sequence-specific recognition of a NGGU motif via the ZnF and an unusual shape recognition of a stem-loop RNA via the RRM. In addition, sequence-independent interactions via the RGG repeats significantly increase binding affinity and promote destabilization of structured RNA conformation, enabling additional binding. We further show that disruption of the RRM and ZnF domains abolishes FUS function in splicing. Altogether, our results rationalize why deciphering the RNA binding mode of FUS has been so challenging.",2,3.0,"{""Activation"": 2}"
30581146,"Ferroptosis is a regulated necrosis process driven by iron-dependent lipid peroxidation. Although ferroptosis and cellular metabolism interplay with one another, whether mitochondria are involved in ferroptosis is under debate. Here, we demonstrate that mitochondria play a crucial role in cysteine-deprivation-induced ferroptosis but not in that induced by inhibiting glutathione peroxidase-4 (GPX4), the most downstream component of the ferroptosis pathway. Mechanistically, cysteine deprivation leads to mitochondrial membrane potential hyperpolarization and lipid peroxide accumulation. Inhibition of mitochondrial TCA cycle or electron transfer chain (ETC) mitigated mitochondrial membrane potential hyperpolarization, lipid peroxide accumulation, and ferroptosis. Blockage of glutaminolysis had the same inhibitory effect, which was counteracted by supplying downstream TCA cycle intermediates. Importantly, loss of function of fumarate hydratase, a tumor suppressor and TCA cycle component, confers resistance to cysteine-deprivation-induced ferroptosis. Collectively, this work demonstrates the crucial role of mitochondria in cysteine-deprivation-induced ferroptosis and implicates ferroptosis in tumor suppression.",1,0.0,"{""Activation"": 1}"
30581147,"Membrane targeting of the BECN1-containing class III PI 3-kinase (PI3KC3) complexes is pivotal to the regulation of autophagy. The interaction of PI3KC3 complex II and its ubiquitously expressed inhibitor, Rubicon, was mapped to the first β sheet of the BECN1 BARA domain and the UVRAG BARA2 domain by hydrogen-deuterium exchange and cryo-EM. These data suggest that the BARA β sheet 1 unfolds to directly engage the membrane. This mechanism was confirmed using protein engineering, giant unilamellar vesicle assays, and molecular simulations. Using this mechanism, a BECN1 β sheet-1 derived peptide activates both PI3KC3 complexes I and II, while HIV-1 Nef inhibits complex II. These data reveal how BECN1 switches on and off PI3KC3 binding to membranes. The observations explain how PI3KC3 inhibition by Rubicon, activation by autophagy-inducing BECN1 peptides, and inhibition by HIV-1 Nef are mediated by the switchable ability of the BECN1 BARA domain to partially unfold and insert into membranes.",2,3.0,"{""Inhibition"": 2}"
